0,cnName,name,rarity,fullImgUrl,type,race,cost
61,化血为脓,Blood To Ichor,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_314_zhCN_BloodToIchor.png,spell,,1
62,暴龙之王摩什,King Mosh,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_933_zhCN_KingMosh.png,minion,beast,9
63,达利乌斯·克罗雷,Darius Crowley,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GIL_547_zhCN_DariusCrowley.png,minion,,5
64,凶暴猿猴,Fierce Monkey,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOE_022_zhCN_FierceMonkey.png,minion,beast,3
65,火羽之心,Fire Plume's Heart,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_934_zhCN_FirePlumesHeart.png,spell,,1
66,污手街典当师,Grimestreet Pawnbroker,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_755_zhCN_GrimestreetPawnbroker.png,minion,,3
67,地塑师伊普,Geosculptor Yip,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_519_zhCN_GeosculptorYip.png,minion,,8
68,恐角龙宝宝,Direhorn Hatchling,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_957_zhCN_DirehornHatchling.png,minion,beast,5
69,污手玩具商,Grimy Gadgeteer,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_754_zhCN_GrimyGadgeteer.png,minion,,4
70,熔岩之刃,Molten Blade,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_929_zhCN_MoltenBlade.png,weapon,,1
71,失窃物资,Stolen Goods,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_752_zhCN_StolenGoods.png,spell,,2
72,血帆教徒,Bloodsail Cultist,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_315_zhCN_BloodsailCultist.png,minion,pirate,3
73,奥格瑞玛狼骑士,Orgrimmar Aspirant,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_066_zhCN_OrgrimmarAspirant.png,minion,,3
74,奥金斧,Arcanite Reaper,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CS2_112_zhCN_ArcaniteReaper.png,weapon,,5
75,旋风斩,Whirlwind,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_400_zhCN_Whirlwind.png,spell,,1
76,腐面,Rotface,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_405_zhCN_Rotface.png,minion,,8
77,钢铁触须,Tentacles for Arms,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_033_zhCN_TentaclesforArms.png,weapon,,5
78,焦油兽王,Tar Lord,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_838_zhCN_TarLord.png,minion,elemental,7
79,未鉴定的盾牌,Unidentified Shield,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_285_zhCN_UnidentifiedShield.png,spell,,6
80,绝命乱斗,Brawl,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_407_zhCN_Brawl.png,spell,,5
81,破海者,Sea Reaver,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_130_zhCN_SeaReaver.png,minion,,6
82,保卫国王,Protect the King!,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__KAR_026_zhCN_ProtecttheKing.png,spell,,3
83,怒袭,Bash,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_064_zhCN_Bash.png,spell,,3
84,命令怒吼,Commanding Shout,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__NEW1_036_zhCN_CommandingShout.png,spell,,2
85,黑曜石毁灭者,Obsidian Destroyer,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOE_009_zhCN_ObsidianDestroyer.png,minion,,7
86,铁炉堡传送门,Ironforge Portal,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__KAR_091_zhCN_IronforgePortal.png,spell,,5
87,天灾领主加尔鲁什,Scourgelord Garrosh,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_834_zhCN_ScourgelordGarrosh.png,,,8
88,盾牌格挡,Shield Block,normal,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_606_zhCN_ShieldBlock.png,spell,,3
89,亡者之牌,Dead Man's Hand,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_091_zhCN_DeadMansHand.png,spell,,2
90,基因转接,Sudden Genesis,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_927_zhCN_SuddenGenesis.png,spell,,5
91,身陷绝境的哨卫,Cornered Sentry,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_926_zhCN_CorneredSentry.png,minion,,2
92,死亡之咬,Death's Bite,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__FP1_021_zhCN_DeathsBite.png,weapon,,4
93,暴躁的恐角龙,Ornery Direhorn,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_925_zhCN_OrneryDirehorn.png,minion,beast,6
94,铜皮铁甲,Iron Hide,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_923_zhCN_IronHide.png,spell,,1
95,探索安戈洛,Explore Un'Goro,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__UNG_922_zhCN_ExploreUnGoro.png,spell,,2
96,钢铁战蝎,Iron Juggernaut,legendary,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__GVG_056_zhCN_IronJuggernaut.png,minion,meths,6
97,熔甲卫士,Mountainfire Armor,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_062_zhCN_MountainfireArmor.png,minion,,3
98,小型法术秘银石,Lesser Mithril Spellstone,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_203_zhCN_LesserMithrilSpellstone.png,spell,,7
99,公辩律师,Public Defender,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_300_zhCN_PublicDefender.png,minion,,2
100,格斗陪练师,Sparring Partner,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__AT_069_zhCN_SparringPartner.png,minion,,2
101,愚者之灾,Fool's Bane,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__KAR_028_zhCN_FoolsBane.png,weapon,,5
102,暴乱狂战士,Frothing Berserker,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__EX1_604_zhCN_FrothingBerserker.png,minion,,3
103,黄铜指虎,Brass Knuckles,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_631_zhCN_BrassKnuckles.png,weapon,,4
104,上古之神护卫,Ancient Shieldbearer,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__OG_301_zhCN_AncientShieldbearer.png,minion,,7
105,兽人铸甲师,Alley Armorsmith,rare,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_756_zhCN_AlleyArmorsmith.png,minion,,5
106,鱼死网破,Sleep with the Fishes,epic,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_716_zhCN_SleepwiththeFishes.png,spell,,2
107,活化狂战士,Animated Berserker,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__ICC_238_zhCN_AnimatedBerserker.png,minion,,1
108,枯须铸甲师,Drywhisker Armorer,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__LOOT_367_zhCN_DrywhiskerArmorer.png,minion,,2
109,盛气凌人,I Know a Guy,common,http://hearthstone.nos.netease.com/1/hscards/WARRIOR__CFM_940_zhCN_IKnowaGuy.png,spell,,1
110,蜡烛弓,Candleshot,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_222_zhCN_Candleshot.png,weapon,,1
111,神勇弓箭手,Brave Archer,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_059_zhCN_BraveArcher.png,minion,,1
112,捕熊陷阱,Bear Trap,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_060_zhCN_BearTrap.png,spell,,2
113,误导,Misdirection,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_533_zhCN_Misdirection.png,spell,,2
114,致命射击,Deadly Shot,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_617_zhCN_DeadlyShot.png,spell,,3
115,召唤宠物,Call Pet,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_017_zhCN_CallPet.png,spell,,2
116,军备宝箱,Hidden Cache,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_026_zhCN_HiddenCache.png,spell,,2
117,驯犬大师肖尔,Houndmaster Shaw,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_650_zhCN_HoundmasterShaw.png,minion,,4
118,碾压墙,Crushing Walls,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_522_zhCN_CrushingWalls.png,spell,,7
119,驮运科多兽,Dispatch Kodo,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_335_zhCN_DispatchKodo.png,minion,beast,4
120,重型刃弩,Glaivezooka,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_043_zhCN_Glaivezooka.png,weapon,,2
121,森林狼,Timber Wolf,normal,http://hearthstone.nos.netease.com/1/hscards/HUNTER__DS1_175_zhCN_TimberWolf.png,minion,beast,1
122,瘟疫鼠群,Rat Pack,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_316_zhCN_RatPack.png,minion,beast,3
123,雄斑虎,Alleycat,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_315_zhCN_Alleycat.png,minion,beast,1
124,加兹瑞拉,Gahz'rilla,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_049_zhCN_Gahzrilla.png,minion,beast,7
125,食腐土狼,Scavenging Hyena,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_531_zhCN_ScavengingHyena.png,minion,beast,2
126,百兽之王,King of Beasts,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_046_zhCN_KingofBeasts.png,minion,beast,5
127,金刚刃牙兽,Metaltooth Leaper,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_048_zhCN_MetaltoothLeaper.png,minion,meths,3
128,寄生恶狼,Infested Wolf,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__OG_216_zhCN_InfestedWolf.png,minion,beast,4
129,游荡怪物,Wandering Monster,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_079_zhCN_WanderingMonster.png,spell,,2
130,奥术射击,Arcane Shot,normal,http://hearthstone.nos.netease.com/1/hscards/HUNTER__DS1_185_zhCN_ArcaneShot.png,spell,,1
131,探险帽,Explorer's Hat,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOE_105_zhCN_ExplorersHat.png,spell,,2
132,洞穴多头蛇,Cave Hydra,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_078_zhCN_CaveHydra.png,minion,beast,3
133,侧翼打击,Flanking Strike,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_077_zhCN_FlankingStrike.png,spell,,4
134,食腐飞龙,Carrion Drake,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_905_zhCN_CarrionDrake.png,minion,dragon,5
135,迅猛龙宝宝,Raptor Hatchling,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__UNG_914_zhCN_RaptorHatchling.png,minion,beast,1
136,雷鸣刺喉龙,Crackling Razormaw,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__UNG_915_zhCN_CracklingRazormaw.png,minion,beast,2
137,艾莫莉丝,Emeriss,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_128_zhCN_Emeriss.png,minion,dragon,10
138,穴居人驯兽师,Trogg Beastrager,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_338_zhCN_TroggBeastrager.png,minion,,2
139,宝石鹦鹉,Jeweled Macaw,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__UNG_912_zhCN_JeweledMacaw.png,minion,beast,1
140,食人鱼喷枪,Piranha Launcher,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_337_zhCN_PiranhaLauncher.png,weapon,,5
141,托维尔守卫,Tol'vir Warden,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__UNG_913_zhCN_TolvirWarden.png,minion,,5
142,角斗士的长弓,Gladiator's Longbow,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__DS1_188_zhCN_GladiatorsLongbow.png,weapon,,7
143,豹子戏法,Cat Trick,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__KAR_004_zhCN_CatTrick.png,spell,,2
144,豺狼人土枪手,Shaky Zipgunner,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_336_zhCN_ShakyZipgunner.png,minion,,3
145,凶残撕咬,Grievous Bite,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__UNG_910_zhCN_GrievousBite.png,spell,,2
146,兽群呼唤,Call of the Wild,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__OG_211_zhCN_CalloftheWild.png,spell,,9
147,装死,Play Dead,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_052_zhCN_PlayDead.png,spell,,1
148,假死,Feign Death,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_026_zhCN_FeignDeath.png,spell,,2
149,伦鲁迪洛尔,Rhok'delar,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_085_zhCN_Rhokdelar.png,weapon,,7
150,邪巢诱捕蛛,Vilebrood Skitterer,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_562_zhCN_VilebroodSkitterer.png,minion,beast,5
151,冰冻陷阱,Freezing Trap,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_611_zhCN_FreezingTrap.png,spell,,2
152,自爆肿胀蝠,Exploding Bloatbat,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_021_zhCN_ExplodingBloatbat.png,minion,beast,4
153,小型法术翡翠,Lesser Emerald Spellstone,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_080_zhCN_LesserEmeraldSpellstone.png,spell,,5
154,长鬃草原狮,Savannah Highmane,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_534_zhCN_SavannahHighmane.png,minion,beast,6
155,走私货物,Smuggler's Crate,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_334_zhCN_SmugglersCrate.png,spell,,1
156,巨型沙虫,Giant Sand Worm,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__OG_308_zhCN_GiantSandWorm.png,minion,beast,8
157,狙击,Snipe,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_609_zhCN_Snipe.png,spell,,2
158,寄生感染,Infest,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__OG_045_zhCN_Infest.png,spell,,3
159,恐鳞,Dreadscale,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_063t_zhCN_Dreadscale.png,minion,beast,3
160,熊鲨,Bearshark,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_419_zhCN_Bearshark.png,minion,beast,3
161,酸喉,Acidmaw,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_063_zhCN_Acidmaw.png,minion,beast,7
162,苔原犀牛,Tundra Rhino,normal,http://hearthstone.nos.netease.com/1/hscards/HUNTER__DS1_178_zhCN_TundraRhino.png,minion,beast,5
163,皇家雷象,King's Elekk,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_058_zhCN_KingsElekk.png,minion,beast,2
164,爆炸射击,Explosive Shot,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_537_zhCN_ExplosiveShot.png,spell,,5
165,金手指纳克斯,Knuckles,legendary,http://hearthstone.nos.netease.com/1/hscards/HUNTER__CFM_333_zhCN_Knuckles.png,minion,beast,5
166,强风射击,Powershot,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_056_zhCN_Powershot.png,spell,,3
167,来我身边！,To My Side!,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__LOOT_217_zhCN_ToMySide.png,spell,,6
168,杀戮命令,Kill Command,normal,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_539_zhCN_KillCommand.png,spell,,3
169,兽栏大师,Stablemaster,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__AT_057_zhCN_Stablemaster.png,minion,,3
170,多重射击,Multi-Shot,normal,http://hearthstone.nos.netease.com/1/hscards/HUNTER__DS1_183_zhCN_MultiShot.png,spell,,4
171,凶猛狂暴,Dire Frenzy,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_828_zhCN_DireFrenzy.png,spell,,4
172,狩猎犬,Hunting Mastiff,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_607t_zhCN_HuntingMastiff.png,minion,beast,2
173,缝合追踪者,Stitched Tracker,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_415_zhCN_StitchedTracker.png,minion,,3
174,捕鼠陷阱,Rat Trap,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_577_zhCN_RatTrap.png,spell,,2
175,眼镜蛇陷阱,Venomstrike Trap,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_200_zhCN_VenomstrikeTrap.png,spell,,2
176,腐肉虫,Carrion Grub,common,http://hearthstone.nos.netease.com/1/hscards/HUNTER__OG_325_zhCN_CarrionGrub.png,minion,beast,3
177,照明弹,Flare,rare,http://hearthstone.nos.netease.com/1/hscards/HUNTER__EX1_544_zhCN_Flare.png,spell,,2
178,热砂港狙击手,Steamwheedle Sniper,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GVG_087_zhCN_SteamwheedleSniper.png,minion,,2
179,剧毒箭矢,Toxic Arrow,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__ICC_049_zhCN_ToxicArrow.png,spell,,2
180,毒药贩子,Toxmonger,epic,http://hearthstone.nos.netease.com/1/hscards/HUNTER__GIL_607_zhCN_Toxmonger.png,minion,,4
